title,daily_rank,daily_movement,weekly_movement,view_count,like_count,comment_count,video_tags,publish_date,tokens,category,title_len
CEO Christmas Caroling by Alex Gonzaga,2,48,48,3095215,137763,7300,"Alex gonzaga, Alex vlog, New vlog, Ivana alawi, Zeinab, Cong tv, Showtime, Eat, Tvj, Tv5, Gma, Bulaga, News, Travel, New video, Vlog trip, Alex g, Gonzaga, Friends, Best friends, Bff, Funny, New vid, Vlog, Toni gonzaga, Tanay Rizal, Daily vlog, Tiktok, Lifestyle, Trending, Viral, Dance, Friendships, Yayamanin, House raid, Rich life, Niceprint, Wedding, Same day edit, Celebrity photography, Celebrity video, Home raid, House tour, Dongyan, Marian",2024-01-07 00:00:00+00:00,"['ceo', 'christmas', 'caroling', 'alex', 'gonzaga']",Videoblogging,5
CREEPY,41,9,9,1978476,77392,6562,"geo ong, vlog, vlogger, ybs, travel, adventure, palawan, gio, ong, gioong, hiphop, covid19, covid, corona, pinoy, philippines, youngbloods, dougie, congtv, teampayaman, jolai, viy, yow, bosskeng, exb, exbattalion, skustclee, yongee, flowg, angelicayap, offroad, livelife, ranzkyle, niana, ranz&niana, camping, offgrid, wildasovich, harabas",2024-05-25 00:00:00+00:00,['creepy'],Foreign,1
"Capinpin brothers, may 3 bahay at lupa na iniregalo nila sa kanilang ina! | Kapuso Mo, Jessica Soho",1,48,49,1991240,48277,1221,"GMA, GMA 7, GMA Public Affairs, Public Affairs, Magazine, Kapuso Mo Jessica Soho, KMJS, Jessica Soho, KMJS 2024, Kapuso Mo Jessica Soho January 7 2024, vertical:news, genre:entertainment, format:interview, source:video, type:digital, series:Kapuso Mo, topic:explainer, interview, news magazine, kapuso mo jessica soho, trending news, kmjs today, kapuso mo jessica soho latest episode, person:Jessica Soho, location:Philippines, language:Filipino, Capinpin Brothers, Chief Allen, Ser Geybin",2024-01-08 00:00:00+00:00,"['capinpin', 'brothers', 'bahay', 'lupa', 'iniregalo', 'ina', 'kapuso', 'mo', 'jessica', 'soho']",Entertainment,10
"Cedric Lee, Deniece Cornejo, at 2 iba pa, pinatawan ng parusang habambuhay na pagkabilanggo",13,37,37,1058564,12394,4660,"n5e, news5, news5digital, tv5, philippines, ph, news, breaking, news5everywhere, frontline, pilipinas, umaga, tonight, alerts, newsbreak, breakingnews, balita, marcos, bbm, duterte, tulfo, raffy, coc, fyp, fyi, newsph, breakingnewsph, socialnewsph, entertainmentnewsph, entertainment, tiktoknews, tiktok, trending, sarah, pba, uaap, vlog, sports",2024-05-02 00:00:00+00:00,"['cedric', 'lee', 'deniece', 'cornejo', 'pinatawan', 'parusang', 'habambuhay', 'pagkabilanggo']",Entertainment,8
DAMAY DAMAY NA,3,47,47,1553700,67974,4001,"geo ong, vlog, vlogger, ybs, travel, adventure, palawan, gio, ong, gioong, hiphop, covid19, covid, corona, pinoy, philippines, youngbloods, dougie, congtv, teampayaman, jolai, viy, yow, bosskeng, exb, exbattalion, skustclee, yongee, flowg, angelicayap, offroad, livelife, ranzkyle, niana, ranz&niana, camping, offgrid, wildasovich, harabas",2024-04-06 00:00:00+00:00,"['damay', 'damay']",Foreign,2
DIEGO | JESTONI ALARCON | FULL TAGALOG ACTION MOVIE,3,47,47,1233781,6869,80,"diego movie, jungo pinoy movies, tagalog movies, tagalog full movie, full movie, free movie, free full movie tagalog dubbed, full length filipino movies, full movie filipino film, tagalog dubbed full movie, tagalog dubbed full movie action, tagalog dubbed, tagalized action movies, tagalog dubbed action movies, tagalized full movies, best tagalog action movies, tagalog dubbed action film, tagalog dubbed action movies 2022, free tagalog movies",2023-11-25 00:00:00+00:00,"['diego', 'jestoni', 'alarcon', 'tagalog', 'action', 'movie']",Foreign,6
DOLAINAB AT TEAM PAYAMAN FAIR,16,34,34,514189,14542,253,"jelai, jelaiandresvlog, jelai andres, jelai andres vlogs, dolainab, dolainab vlogs, dolainab at team payaman fair, team payaman fair, miloves, zeinab harake, donnalyn bartolome, dolainab performance, jelai donna zeinab, zebbys, team zebbys, dolainab babies, flava dolainab, tp fair, jelai andres tp fair",2024-01-10 00:00:00+00:00,"['dolainab', 'team', 'payaman', 'fair']",Videoblogging,4
DOMENG NAMAN,1,49,49,2958008,138288,6177,"geo ong, vlog, vlogger, ybs, travel, adventure, palawan, gio, ong, gioong, hiphop, covid19, covid, corona, pinoy, philippines, youngbloods, dougie, congtv, teampayaman, jolai, viy, yow, bosskeng, exb, exbattalion, skustclee, yongee, flowg, angelicayap, offroad, livelife, ranzkyle, niana, ranz&niana, camping, offgrid, wildasovich, harabas",2024-01-27 00:00:00+00:00,"['domeng', 'naman']",Foreign,2
DUTERTE SA ICC: The ABS-CBN News Live Special Coverage,3,47,47,2246374,10166,1332,"ABS-CBN, ABS-CBN News, Philippine News, News, ABS-CBN News Channel, DZMM Teleradyo, ABS CBN DZMM, March 14 2025, 20250314abscbnlivestream, YT0psLance, News Daytime, type:highlights, series:Kabayan, channel:ABS-CBNNews, format:straight, #ABSCBNNewsLivestreams, #ABSCBNNewsLivestreamPressBriefings",2025-03-14 00:00:00+00:00,"['duterte', 'icc', 'abscbn', 'news', 'live', 'special', 'coverage']",Shows,7
"Dalaga, dalawang taon nang nakakadena sa gilid ng bangin sa Sultan Kudarat | Kapuso Mo, Jessica Soho",27,23,23,3069560,39220,4000,"GMA 7, GMA Public Affairs, Public Affairs, Kapuso Mo Jessica Soho, KMJS, Jessica Soho, KMJS 2024, Kapuso Mo Jessica Soho February 4 2024, vertical:news, genre:entertainment, format:interview, source:video, type:digital, kmjs, kapuso mo jessica soho, kmjs latest, kapuso mo jessica soho latest episode, person:Jessica Soho, location:Philippines, language:Filipino, KMJS sultan kudarat, kadena, kmjs kadena, kadena kmjs, kinadena kmjs, babae kinadena kmjs, gma public affairs, kadena story",2024-02-05 00:00:00+00:00,"['dalaga', 'dalawang', 'taon', 'nang', 'nakakadena', 'gilid', 'bangin', 'sultan', 'kudarat', 'kapuso', 'mo', 'jessica', 'soho']",Entertainment,13
